id,location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,magneticfield,proximity
1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,0,0,1,0,1,1,0,1,0,1,0
3,0,1,1,1,0,1,1,1,0,0,0,0
4,0,1,1,0,1,0,0,1,1,0,1,0
5,1,1,0,0,1,0,0,0,0,0,0,1
6,0,0,1,1,0,0,1,0,0,1,0,1
7,0,0,0,0,0,0,0,1,0,1,1,1
8,1,0,1,0,0,1,0,0,1,1,0,0
9,0,0,0,0,1,1,1,0,1,1,0,0
10,1,1,0,1,0,0,0,1,1,1,1,1
11,1,0,0,1,1,1,1,1,0,0,1,1
12,1,0,1,1,1,0,0,1,0,1,0,0
13,0,1,1,0,1,1,0,0,0,1,1,1
14,0,1,0,0,0,0,1,0,1,0,1,1
15,1,0,1,1,0,0,0,0,1,0,0,0
16,1,1,0,0,0,0,1,1,1,1,0,0
17,0,0,1,0,0,1,0,1,1,0,0,1
18,1,1,0,0,0,1,0,0,0,1,1,0
19,0,1,0,1,1,1,0,0,1,0,1,0
20,0,0,1,0,1,0,1,0,0,0,1,0
21,0,0,1,0,0,0,0,0,0,0,1,0
22,0,0,0,1,0,0,0,0,0,0,0,0